Compound;SMILES;E_00_calc;E_00_exp;delta_E_00;E_red_calc;E_red_exp;delta_E_red;E_ox_calc;E_ox_exp;delta_E_ox;E_red*_calc;E_red*_exp;delta_E_red*;E_ox*_calc;E_ox*_exp;delta_E_ox*
Ir_0;c1ccc2c(c1)[Ir]13(N4C2=CCC=C4)(c2ccccc2C2=CCC=CN12)c1ccccc1C1=CCC=CN31;2,54;2,58;-0,04;-2,23;-2,23;0,0;0,77;0,77;0,0;0,31;0,35;-0,04;-1,77;-1,88;0,11
Ir_1;[Ir]123(N4[CH]C=CC=C4N4[C]1C=C(N(C)C)C=C4)(N1[CH]C=CC=C1c1c2cccc1)N1[CH]C=CC=C1c1c3cccc1;2,65;2,69;-0,04;-1,66;-1,73;0,07;1,2;1,22;-0,02;0,99;0,97;0,02;-1,45;-1,47;0,02
Ir_2;C1=C(C=C2N3C1=C1C=C(C=CN1[Ir]13(N3[C]2C=C(C=C3)C(C)(C)C)(Cl)N2[C](C=CC(=C2)C)c2c1cccc2)C(C)(C)C)C(C)(C)C;2,28;2,31;-0,03;-1,14;-1,23;0,09;1,49;1,61;-0,12;1,15;1,07;0,08;-0,8;-0,7;-0,1
Ir_8;[Ir]123(N4[C](Sc5ccccc45)c4c2cccc4)(O[C](C=C(O1)C)C)c1ccccc1[C]1Sc2c(cccc2)N31;2,3;2,28;0,02;-1,79;-1,89;0,1;0,92;0,96;-0,04;0,51;0,39;0,12;-1,38;-1,32;-0,06
Ir_7;c1ccc2c(c1)[Ir]13(N4[C]2C=CC=C4)(c2ccccc2[C]2N1C=CC=C2)OC(=C[C](O3)C)C;2,47;2,48;-0,01;-2,13;-2,21;0,08;0,75;0,8;-0,05;0,34;0,27;0,07;-1,72;-1,67;-0,05
Ir_5;[Ir]123(N4[C](Sc5ccccc45)c4c2cccc4)([C]2N(C=CN2CN2[C]1N(C=C2)CCCC)CCCC)c1ccccc1[C]1Sc2c(cccc2)N31;2,43;2,5;-0,07;-1,64;-1,73;0,09;1,3;1,17;0,13;0,79;0,77;0,02;-1,13;-1,33;0,2
Ir_6;[Ir]123(N4[C]5C=CC=CC5=C(C=C4c4sccc14)C)(N1C4=CC=C[CH]C4=C(C=C1c1sccc21)C)[C]1N(C=CN1CN1C=CN([C]31)CCCC)CCCC;2,06;2,25;-0,19;-1,57;-1,67;0,1;1,07;0,89;0,18;0,49;0,58;-0,09;-0,99;-1,36;0,37
Ir_3;[Ir]123([C]4N(C=CN4CCCC)CN4[C]1N(CCCC)C=C4)(N1[C](c4c2cc2-c5ccccc5C(c2c4)(C)C)C=CC=C1)N1[C](c2cc4C(C)(c5ccccc5-c4cc32)C)C=CC=C1;2,32;2,47;-0,15;-1,89;-1,96;0,07;1,09;0,96;0,13;0,44;0,5;-0,06;-1,23;-1,51;0,28
Ir_10;C1=C(C=C2N3C1=C1C=C(C=CN1[Ir]13(N3[C]2C=C(C=C3)C(C)(C)C)(C#N)N2[C](C=CC(=C2)C)c2c1cc(cc2F)F)C(C)(C)C)C(C)(C)C;2,56;2,58;-0,02;-1,16;-1,17;0,01;1,81;2,01;-0,2;1,41;1,42;-0,01;-0,75;-0,57;-0,18
Ir_11;C1=C(C=C2N3C1=C1C=C(C=CN1[Ir]13(N3[C]2C=C(C=C3)C(C)(C)C)(C#N)N2[C](C=CC(=C2)OC)c2c1c(c(c(c2F)F)F)F)C(C)(C)C)C(C)(C)C;2,57;2,64;-0,07;-1,15;-1,17;0,02;1,72;2,0;-0,28;1,43;1,47;-0,04;-0,85;-0,64;-0,21
Ir_12;[Ir]123(N4[CH]C=CC=C4c4c1cccc4)(N1[CH]C=CC=C1c1ccccc21)N1[CH]C=CC=C1N1[C]3C=C(C=C1)N1CCOCC1;2,65;2,61;0,04;-1,66;-1,65;-0,01;1,2;1,23;-0,03;0,99;0,96;0,03;-1,45;-1,38;-0,07
Ir_13;[Ir]123(N4[CH]C=CC=C4N4[C]1C=C(N(C)C)C=C4)(N1N(c4c2cccc4)[CH]C=C1)N1N(c2c3cccc2)[CH]C=C1;2,68;2,71;-0,03;-1,69;-1,71;0,02;1,24;1,26;-0,02;0,99;1,0;-0,01;-1,44;-1,45;0,01
Ir_14;[Ir]123(N4[CH]C=CC=C4N4[C]1C=C(C=C4)C(C)(C)C)(N1[C](c4c3cccc4)C=CC=C1)N1[C](c3c2cccc3)C=CC=C1;2,4;2,46;-0,06;-1,27;-1,35;0,08;1,3;1,37;-0,07;1,13;1,11;0,02;-1,09;-0,97;-0,12
Ir_15;[Ir]123(O[C]([N@@]4[N@@]3[C](O[Ir]354(N4[C](c6c3cccc6)C=CC=C4)N3[C](c4c5cccc4)C=CC=C3)c3cc(F)cc(F)c3)c3cc(F)cc(F)c3)(N3[C](c4c1cccc4)C=CC=C3)N1[C](c3c2cccc3)C=CC=C1;2,79;2,79;0,0;-2,02;-2,38;0,36;0,68;0,42;0,26;0,76;0,38;0,38;-2,11;-2,34;0,23
Ir_16;c1(cc(c2c(c1)[Ir]13(N4[C]2C=CC=C4)(c2cc(cc(c2[C]2N1C=CC=C2)F)F)c1cc(cc(c1[C]1C=CC=CN31)F)F)F)F;2,7;2,75;-0,05;-2,22;-2,0;-0,22;1,04;1,29;-0,25;0,48;0,75;-0,27;-1,65;-1,46;-0,19
Ir_17;c1(ccc2c(c1)[Ir]13(N4[C]2C=CC=C4)(c2cc(ccc2[C]2N1C=CC=C2)F)c1cc(ccc1[C]1C=CC=CN31)F)F;2,62;2,86;-0,24;-2,27;-2,18;-0,09;0,9;0,96;-0,06;0,36;0,68;-0,32;-1,73;-1,9;0,17
Ir_18;c1(ccc2c(c1)[Ir]13(N4[C]2C=CC=C4)(c2cc(ccc2[C]2N1C=CC=C2)C(F)(F)F)c1cc(ccc1[C]1C=CC=CN31)C(F)(F)F)C(F)(F)F;2,52;2,76;-0,24;-2,0;-2,17;0,17;0,98;1,06;-0,08;0,51;0,59;-0,08;-1,53;-1,7;0,17
Ir_19;c1ccc2c(c1)[Ir]13(N4[C]2C=CC(=C4)C)(c2ccccc2[C]2N1C=C(C=C2)C)c1ccccc1[C]1C=CC(=CN31)C;2,53;2,58;-0,05;-2,31;-2,3;-0,01;0,71;0,68;0,03;0,22;0,28;-0,06;-1,82;-1,89;0,07
Ir_20;c1c(cc2c(c1)[Ir]13(N4[C]2C=CC=C4)(c2ccc(cc2[C]2N1C=CC=C2)C)c1ccc(cc1[C]1C=CC=CN31)C)C;2,46;2,52;-0,06;-2,27;-2,26;-0,01;0,64;0,6;0,04;0,2;0,26;-0,06;-1,83;-1,92;0,09
Ir_21;c1(ccc2c(c1)[Ir]13(N4[C]2C=CC=C4)(c2cc(ccc2[C]2N1C=CC=C2)C)c1cc(ccc1[C]1C=CC=CN31)C)C;2,53;2,56;-0,03;-2,32;-2,33;0,01;0,69;0,6;0,09;0,21;0,23;-0,02;-1,84;-1,96;0,12
Ir_22;c1c(cc2c(c1)[Ir]13(N4[C]2C=CC=C4)(c2ccc(cc2[C]2N1C=CC=C2)O)c1ccc(cc1[C]1C=CC=CN31)O)O;2,31;2,4;-0,09;-2,23;-2,21;-0,02;0,51;0,53;-0,02;0,07;0,19;-0,12;-1,8;-1,87;0,07
Ir_23;c1(ccc2c(c1)[Ir]13(N4[C]2C=CC=C4)(c2cc(ccc2[C]2N1C=CC=C2)O)c1cc(ccc1[C]1C=CC=CN31)O)O;2,58;2,64;-0,06;-2,39;-2,34;-0,05;0,74;0,7;0,04;0,19;0,26;-0,07;-1,84;-1,95;0,11
Ir_25;c1ccc2c(c1)[Ir]13(N4[C]2C=CC=C4)(N2[CH]C(=CC=C2[C]2N1C=C(C=C2)F)F)c1ccccc1[C]1C=CC=CN31;2,45;2,4;0,05;-1,31;-1,26;-0,05;1,4;1,4;0,0;1,14;1,14;0,0;-1,05;-1,0;-0,05
Ir_26;c1ccc2c(c1)[Ir]13(N4[C]2C=CC=C4)(N2[CH]C(=C(C=C2[C]2N1C=C(C(=C2)C)C)C)C)c1ccccc1[C]1C=CC=CN31;2,54;2,59;-0,05;-1,5;-1,52;0,02;1,27;1,28;-0,01;1,04;1,07;-0,03;-1,27;-1,31;0,04
Ir_27;c1ccc2c(c1)[Ir]13(N4[C]2C=CC=C4)(N2[CH]C=C(C=C2[C]2N1C=CC(=C2)N)N)c1ccccc1[C]1C=CC=CN31;2,59;2,65;-0,06;-1,73;-1,78;0,05;1,12;1,15;-0,03;0,85;0,87;-0,02;-1,47;-1,5;0,03
Ir_24;c1ccc2c(c1)[Ir]13(N4[C]2C=CC=C4)(N2[CH]C(=CC=C2[C]2N1C=C(C=C2)O)O)c1ccccc1[C]1C=CC=CN31;2,49;2,49;0,0;-1,58;-1,41;-0,17;1,33;1,35;-0,02;0,9;1,08;-0,18;-1,15;-1,14;-0,01
Ir_32;c1ccc2c(c1)[Ir]13(N4[C]2C=CC=C4)(N2[CH]C=C(C=C2[C]2N1C=CC(=C2)C(C)(C)C)C(C)(C)C)c1ccccc1[C]1C=CC=CN31;2,56;2,17;0,39;-1,4;-1,51;0,11;1,3;1,21;0,09;1,15;0,66;0,49;-1,25;-0,96;-0,29
Ir_29;c1ccc2c(c1)[Ir]13(N4[C]2C=CC=C4)(N2[CH]C(=C(C=C2[C]2N1C=C(C(=C2)N)C)N)C)c1ccccc1[C]1C=CC=CN31;2,59;2,64;-0,05;-1,87;-1,91;0,04;1,1;1,14;-0,04;0,72;0,73;-0,01;-1,49;-1,5;0,01
Ir_31;c1ccc2c(c1)[Ir]13(N4[C]2C=CC=C4)(N2[CH]C=CC=C2[C]2N1C=CC=C2)c1ccccc1[C]1C=CC=CN31;2,4;2,66;-0,26;-1,24;-1,37;0,13;1,35;1,25;0,1;1,16;0,61;0,55;-1,05;-1,41;0,36
Ir_30;c1ccc2c(c1)[Ir]13(N4[C]2C=CC=C4)(N2[CH]C=C(C=C2[C]2N1C=CC(=C2)N1CCCC1)N1CCCC1)c1ccccc1[C]1C=CC=CN31;2,55;2,64;-0,09;-1,72;-1,74;0,02;1,06;1,21;-0,15;0,83;0,9;-0,07;-1,48;-1,43;-0,05
Ir_38;[Ir]123(N4[CH]C=CC=C4N4[C]1C=C(N1CCCC1)C=C4)(N1[CH]C=CC=C1c1c2cccc1)N1[CH]C=CC=C1c1c3cccc1;2,65;2,72;-0,07;-1,71;-1,76;0,05;1,2;1,2;0,0;0,94;0,96;-0,02;-1,45;-1,52;0,07
Ir_28;c1ccc2c(c1)[Ir]13(N4[C]2C=CC=C4)(N2[CH]C=CC=C2[C]2N1C=CC(=C2)N)c1ccccc1[C]1C=CC=CN31;2,47;2,57;-0,1;-1,46;-1,52;0,06;1,2;1,22;-0,02;1,01;1,05;-0,04;-1,28;-1,35;0,07
Ir_36;[Ir]123(N4[CH]C=CC=C4N4[C]1C=C(N)C=C4)(N1[CH]C=CC=C1c1c2cccc1)N1[CH]C=CC=C1c1c3cccc1;2,65;2,63;0,02;-1,7;-1,74;0,04;1,21;1,21;0,0;0,95;0,89;0,06;-1,44;-1,42;-0,02
Ir_37;[Ir]123(N4[CH]C=CC=C4N4[C]1C=C(N1CCCCC1)C=C4)(N1[CH]C=CC=C1c1c2cccc1)N1[CH]C=CC=C1c1c3cccc1;2,65;2,65;0,0;-1,68;-1,73;0,05;1,2;1,23;-0,03;0,98;0,93;0,05;-1,45;-1,42;-0,03
Ir_41;[Ir]123(N4[CH]C=CC=C4N4[C]1C=C(C(C)(C)C)C=C4)(N1N(c4c2cccc4)[CH]C=C1)N1N(c2c3cccc2)[CH]C=C1;2,43;2,42;0,01;-1,26;-1,33;0,07;1,35;1,37;-0,02;1,17;1,09;0,08;-1,09;-1,05;-0,04
Ir_33;c1(cc(c2c(c1)[Ir]13(N4[C]2C=CC(=C4)C(F)(F)F)(N2[CH]C(=CC=C2[C]2N1C=C(C=C2)C(F)(F)F)C(F)(F)F)c1cc(cc(c1[C]1C=CC(=CN31)C(F)(F)F)F)F)F)F;2,4;2,37;0,03;-0,73;-0,69;-0,04;1,74;1,94;-0,2;1,67;1,68;-0,01;-0,66;-0,43;-0,23
Ir_39;[Ir]123(N4[CH]C=CC=C4N4[C]1C=C(C=C4)c1cc4c(-c5c(C4(C)C)cc(cc5)N(c4ccccc4)c4ccccc4)cc1)(N1[CH]C=CC=C1c1c2cccc1)N1[CH]C=CC=C1c1c3cccc1;1,95;2,15;-0,2;-1,02;-1,16;0,14;0,83;0,91;-0,08;0,93;0,99;-0,06;-1,13;-1,24;0,11
Ir_40;[Ir]123(N4[CH]C=CC=C4N4[C]1C=C(C=C4)c1ccc(cc1)N(C)C)(N1[CH]C=CC=C1c1c2cccc1)N1[CH]C=CC=C1c1c3cccc1;2,01;2,31;-0,3;-1,23;-1,27;0,04;1,07;1,0;0,07;0,79;1,04;-0,25;-0,94;-1,31;0,37
Ir_46;C1=C(C=C2N3C1=C1C=C(C=CN1[Ir]13(N3[C]2C=C(C=C3)C(C)(C)C)(Cl)N2[C](C=CC(=C2)OC)c2c1c(c(c(c2F)F)F)F)C(C)(C)C)C(C)(C)C;2,39;2,49;-0,1;-1,12;-1,14;0,02;1,58;1,83;-0,25;1,27;1,35;-0,08;-0,81;-0,66;-0,15
Ir_47;C1=C(C=C2N3C1=C1C=C(C=CN1[Ir]13(N3[C]2C=C(C=C3)C(C)(C)C)(C#N)N2[C](C=CC(=C2)OC)c2c1cc(cc2)F)C(C)(C)C)C(C)(C)C;2,52;2,54;-0,02;-1,15;-1,17;0,02;1,53;1,95;-0,42;1,37;1,37;0,0;-0,99;-0,59;-0,4
