Compound;SMILES;E_00_calc_adjusted;E_00_exp;delta_E_00_adjusted;E_red_calc_adjusted;E_red_exp;delta_E_red_adjusted;E_ox_calc_adjusted;E_ox_exp;delta_E_ox_adjusted;E_red*_calc_adjusted;E_red*_exp;delta_E_red*_adjusted;E_ox*_calc_adjusted;E_ox*_exp;delta_E_ox*_adjusted
Ir_0;[N]12=CC=CC=C1C(C=CC=C3)=C3[Ir]24([N]5=CC=CC=C5C6=C4C=CC=C6)([N]7=CC=CC=C78)C9=C8C=CC=C9;2,583148148;2,58;0,003148148;-2,272777778;-2,23;-0,042777778;0,784814815;0,77;0,014814815;0,323888889;0,35;-0,026111111;-1,772222222;-1,88;0,107777778
Ir_1;CN(C)C1=CC([Ir]2(C3=C4C=CC=C3)([N]5=CC=CC=C56)([N]7=CC=CC=C74)[N]8=CC=CC=C8C9=C2C=CC=C9)=[N+]6C=C1;2,693148148;2,69;0,003148148;-1,702777778;-1,73;0,027222222;1,214814815;1,22;-0,005185185;1,003888889;0,97;0,033888889;-1,452222222;-1,47;0,017777778
Ir_2;Cl[Ir+]([N]1=C2C=C(C(C)(C)C)C=C1)([N]3=C4C=C(C(C)(C)C)C=C32)([N]5=CC(C)=CC=C56)([N]7=CC=C(C(C)(C)C)C=C74)C8=C6C=CC=C8;2,323148148;2,31;0,013148148;-1,182777778;-1,23;0,047222222;1,504814815;1,61;-0,105185185;1,163888889;1,07;0,093888889;-0,802222222;-0,7;-0,102222222
Ir_8;CC1=O[Ir]23([N]4=C(SC5=C4C=CC=C5)C6=CC=CC=C36)(OC(C)=C1)[N](C(C=CC=C7)=C7S8)=C8C9=C2C=CC=C9;2,343148148;2,28;0,063148148;-1,832777778;-1,89;0,057222222;0,934814815;0,96;-0,025185185;0,523888889;0,39;0,133888889;-1,382222222;-1,32;-0,062222222
Ir_7;CC1=CC(C)=O[Ir]2([N]3=C4C=CC=C3)(C5=CC=CC=C54)(O1)[N]6=CC=CC=C6C7=C2C=CC=C7;2,513148148;2,48;0,033148148;-2,172777778;-2,21;0,037222222;0,764814815;0,8;-0,035185185;0,353888889;0,27;0,083888889;-1,722222222;-1,67;-0,052222222
Ir_5;CCCC[N+]1=C2[Ir-]34([N]5=C(SC6=C5C=CC=C6)C7=CC=CC=C47)(C8=[N+](CCCC)C=CN8CN2C=C1)[N](C(C=CC=C9)=C9S%10)=C%10C%11=C3C=CC=C%11;2,473148148;2,5;-0,026851852;-1,682777778;-1,73;0,047222222;1,314814815;1,17;0,144814815;0,803888889;0,77;0,033888889;-1,132222222;-1,33;0,197777778
Ir_6;CC(C1=C2C=CC=C1)=CC3=[N]2[Ir-]45(C6=[N+](CCCC)C=CN6CN7C5=[N+](CCCC)C=C7)(C8=C3SC=C8)[N](C(C=CC=C9)=C9C(C)=C%10)=C%10C%11=C4C=CS%11;2,103148148;2,25;-0,146851852;-1,612777778;-1,67;0,057222222;1,084814815;0,89;0,194814815;0,503888889;0,58;-0,076111111;-0,992222222;-1,36;0,367777778
Ir_3;CC(C1=C2C=CC=C1)(C)C(C2=C3)=CC4=C3[Ir-]5(C6=C7C=CC=C6)(C8=[N+](CCCC)C=CN8CN9C5=[N+](CCCC)C=C9)([N]%10=CC(C(C=CC=C%11)=C%11C%12(C)C)=C%12C=C%107)[N]%13=CC=CC=C%134;2,363148148;2,47;-0,106851852;-1,932777778;-1,96;0,027222222;1,104814815;0,96;0,144814815;0,453888889;0,5;-0,046111111;-1,232222222;-1,51;0,277777778
Ir_10;CC1=CC=C2[N]([Ir+]([N]3=C4C=C(C(C)(C)C)C=C3)([N]5=C6C=C(C(C)(C)C)C=C54)([N]7=CC=C(C(C)(C)C)C=C76)(C#N)C8=C2C(F)=CC(F)=C8)=C1;2,603148148;2,58;0,023148148;-1,202777778;-1,17;-0,032777778;1,824814815;2,01;-0,185185185;1,423888889;1,42;0,003888889;-0,752222222;-0,57;-0,182222222
Ir_11;FC1=C(F)C([Ir+]([N]2=C3C=C(C(C)(C)C)C=C2)([N]4=C5C=C(C(C)(C)C)C=C43)([N]6=CC(OC)=CC=C67)([N]8=CC=C(C(C)(C)C)C=C85)C#N)=C7C(F)=C1F;2,613148148;2,64;-0,026851852;-1,192777778;-1,17;-0,022777778;1,734814815;2;-0,265185185;1,443888889;1,47;-0,026111111;-0,852222222;-0,64;-0,212222222
