Compound;SMILES;E_ox_calc;E_ox_exp;delta_E_ox;Ref.
1;CCCCC;3,339627747;3,15;0,19;A1
2;CCC(C)CC;3,024936463;3,28;-0,25;A2
3;CC(C)CCC;3,055697412;3,19;-0,13;A40
4;CC(C)(C)CC;2,8057066;3,55;-0,74;A2
5;CCCCCC;3,207366331;3,11;0,1;A1
6;CCCCCCC;3,151352036;3,07;0,08;A1
7;CCCCCCCC;3,102195307;3,15;-0,05;A40
8;C12CC1C2;1,7858738;1,69;0,1;A3
9;CC12C(C2)C1;1,453292598;1,47;-0,01;A3
10;CC12C(C2)(C)C1;1,157856159;1,1;0,06;A3
11;CC1(C)C2CC21;1,727695104;1,56;0,17;A3
12;CC1(C)C2CC21C;1,383755556;1,27;0,12;A3
13;CC1(C)C2(C)CC21C;1,089766496;1,03;0,06;A3
14;CC1(C)C2C(C)(C)C21;1,654837989;1,57;0,09;A3
15;CC1(C)C2C(C)(C)C21C;1,283442598;1,2;0,09;A3
16;CC1(C)C2(C)C(C)(C)C21C;0,981977183;0,93;0,05;A3
17;C1CCC1;2,672890614;1,91;0,76;A3
18;C12CC3CC1C2C3;2,030649531;2,12;-0,09;A3
19;[C@H]12CCC[C@@H]3[C@H]1[C@H]23;1,694254911;1,5;0,2;A3
20;[C@H]12[C@H]3[C@@H]4[C@@H]5[C@H]3[C@H]1[C@H]2[C@H]45;1,653875791;1,54;0,12;A3
21;[C@H]12[C@H](C3)[C@@H]4[C@@H]5[C@H]3[C@H]1[C@H]2[C@H]45;1,783829673;1,62;0,17;A3
22;[C@H]12[C@H](CC3)[C@@H]4[C@@H]5[C@H]3[C@H]1[C@H]2[C@H]45;1,686995432;1,54;0,15;A3
23;[C@H]12[C@H]3[C@@H]4[C@H]3[C@H]1[C@H]2C4;1,076374092;0,91;0,17;A3
24;[C@H]12[C@H]3[C@@H]4[C@@H]5[C@H]3[C@H]1[C@@H]5[C@H]24;1,917435337;1,73;0,19;A3
25;[C@H]12[C@H]3[C@@H]4[C@@H]5[C@H]3[C@H]1C[C@@H]5[C@H]24;1,758335778;1,74;0,02;A3
26;C12CC(CC(C3)C2)CC3C1;2,569475547;2,69;-0,12;A8
27;CC12C[C@@H]3C[C@H](C1)C[C@H](C2)C3;2,497624985;2,73;-0,23;A8
28;C=C;2,990513664;3,17;-0,18;A2
29;C=CC;2,396848072;2,97;-0,57;A40
