id	smiles	n_atoms	n_frames
ex_0001	C1=CC2=CC=CC3=C2[N+](=C1)[Pd-2]1([Se]3)[Se]C2=C3C(=CC=C2)C=CC=[N+]31	35	2
ex_0002	C1=CC2=CC=C3C=CC=[N+]4C3=C2[N+](=C1)[Cu-4]412([N+]3=CC=CC4=CC=C5C=CC=[N+]1C5=C43)[N+]1=CC=CC3=CC=C4C=CC=[N+]2C4=C31	67	16
ex_0003	[I][Cu-3]12[N+]3=CC=CC=C3[As](C3=CC=CC=[N+]31)C1=CC=CC=[N+]12	33	3
ex_0004	C1C[N+]2=C(N1)C1=[N+](CCN1)[Co-3]213([N+]2=C(NCC2)C2=[N+]1CCN2)[N+]1=C(NCC1)C1=[N+]3CCN1	61	10
ex_0005	CC1=CC(C)=C(C2=C3C=C(Br)C4=[N+]3[Ni-2]35[N]6C2=C(Br)C(Br)=C6C2=[N+]3C(=C(C3=C(C)C=C(C)C=C3C)C3=CC(Br)=C(N4C4=CC=C(Br)C=C4)[N]35)C(Br)=C2Br)C(C)=C1	83	22
ex_0006	C[As+]1(C)C2=C(C(F)(F)C2(F)F)[As+](C)(C)[Re-2]1([Cl])([Cl])([Cl])[Cl]	31	6
ex_0007	[Cl][Ni-4]12([Cl])([N+]3=CC=CC=C3C3=[N+]1C=CN3)[N+]1=CC=CC=C1C1=[N+]2C=CN1	39	10
ex_0008	CC1=CC(C)=[N+]([Mo-3]([Br])([Br])([Br])([Br])[N+]2=C(C)C=C(C)N2)N1	35	19
ex_0009	CC1=CC(C)=[C]([Sb+]([Au-][Cl])([C]2=C(C)C=C(C)C=C2C)[C]2=C(C)C=C(C)C=C2C)C(C)=C1	63	13
ex_0010	CC1=CC=CC2=C1[N]1C(=CC3=[N+](C4=C(C)C=CC=C4O3)[Fe-2]13[N]1C(=CC4=[N+]3C3=C(C)C=CC=C3O4)OC3=CC=CC(C)=C31)O2	69	7
ex_0011	[Cl][Ni-4]12([Cl])([N+]3=CC=CC=C3C3=CC=CC=[N+]31)[N+]1=CC=CC=C1C1=CC=CC=[N+]12	43	8
ex_0012	BrC1=CC(Br)=C2C=CC=[N+]3C2=C1[O][Zn-4]312([O]C3=C4C(=C(Br)C=C3Br)C=CC=[N+]41)[N+]1=CC=CC3=CC=C4C=CC=[N+]2C4=C31	57	12
ex_0013	CC1=CC(C)=[N+]2[BH-]3[N+]4=C(C)C=C(C)[N]4[Mo-2]([OH])([OH])([N]=O)([N]12)[N]1C(C)=CC(C)=[N+]31	51	5
ex_0014	NC1=NC2=C3C(=N1)N=CC1=[N+]3[Cu-4]34([O]C1=O)([O]2)[N+]1=CC=CC=C1C[NH+]3CC1=CC=CC=[N+]14	47	5
ex_0015	O=S(=O)([O-])[O][Cu-3]12([N+]3=CC=CC4=CC=C5C=CC=[N+]1C5=C43)[N+]1=CC=CC3=CC=C4C=CC=[N+]2C4=C31	50	16
ex_0016	CC1=CC=C2C=CC3=C4C2=[N+]1[Cu-3]1([N+]4=C(C)C=C3)[N+]2=C(C)C=CC3=CC=C4C=CC(C)=[N+]1C4=C32	57	12
ex_0017	C1=CC=[N+]2C(=C1)C[NH+]1CC3=CNC=[N+]3[Ni-4]2134[N+]1=CC=CC=C1C[NH+]3CC1=CNC=[N+]14	53	5
ex_0018	CN1C=C[N+]2=C1C=[N+]1C3CC4CC(C3)[N+]3=CC5=[N+](C=CN5C)[Fe-4]1325[N+]4=CC1=[N+]5C=CN1C	58	5
ex_0019	[Cl][Cu-3]12([N+]3=CC=CC4=CC=C5C=CC=[N+]1C5=C43)[N+]1=CC=CC3=CC=C4C=CC=[N+]2C4=C31	46	8
ex_0020	CC1=CC=C2C=CC3=C4C2=[N+]1[Cu-3]1([N+]4=C(C)C=C3)[N+]2=C(C)C=CC3=CC=C4C=CC(C)=[N+]1C4=C32	57	12
ex_0021	FC1=C(F)C(F)=C(C2=C3C=CC4=C(C5=C(F)C(F)=C(F)C(F)=C5F)C5=[N+]6C(=C7C=CC8=C(C9=C(F)C(F)=C(F)C(F)=C9F)C9=[C](C2=CN9)[Cu-]6([N]34)[N]87)C=C5)C(F)=C1F	65	20
ex_0022	CC#[N+][Cu-3]12[N+]3=C(C)C=CC=C3[As](=O)(C3=CC=CC(C)=[N+]31)C1=CC=CC(C)=[N+]12	48	2
ex_0023	[Cl][Cu-4]12([Cl])([N+]3=CC=CC=C3C3=[N+]1C=CN3)[N+]1=CC=CC=C1C1=[N+]2C=CN1	39	4
ex_0024	C1=CC=[N+]2C(=C1)C1C3=CC=CC=[N+]3[Ni-4]234([N+]2=CC=CC=C12)[N+]1=CC=CC=C1C(C1=CC=CC=[N+]13)C1=CC=CC=[N+]14	65	9
ex_0025	C1=CC=C2C(=C1)C1=NC3=[N+](C=CS3)[Mn-3]345([N]1C2=NC1=[N+]3C=CS1)[N]1C(=NC2=[N+]4C=CS2)C2=CC=CC=C2C1=NC1=[N+]5C=CS1	59	10
ex_0026	O=[N][Ir-]1([P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[O]C2=C(Br)C(Br)=C(Br)C(Br)=C2[O]1	49	38
ex_0027	CC1=CC(C)=[N+]2C3=CC(Br)=C(Br)C=C3[N]3C(C)=CC(C)=[N+]4C5=CC(Br)=C(Br)C=C5[N]1[Ni-2]342	49	80
ex_0028	ClC1=CC(I)=C2[O][Ni-4]34([O]C5=C6C(=C(Cl)C=C5I)C=CC=[N+]63)([O]C3=C5C(=C(Cl)C=C3I)C=CC=[N+]54)[N+]3=C2C1=CC=C3	52	4
ex_0029	C[N+]1(C)C2=CC=CC=C2[P+](C23CC4CC(CC(C4)C2)C3)(C23CC4CC(CC(C4)C2)C3)[Au-]12[O]C1=C(Br)C(Br)=C(Br)C(Br)=C1[O]2	83	16
ex_0030	O=[N+]([O-])C1=CC2=NC3=C(N=C2C=C1[N+](=O)[O-])[O][Cu-2]1([O]C2=NC4=CC([N+](=O)[O-])=C([N+](=O)[O-])C=C4N=C2[O]1)[O]3	41	44
ex_0031	C[N+]1(C)CCC[Se+](C2=CC=CC=C2)[Pd-2]1([Cl])[Cl]	33	2
ex_0032	CC1=[N+]([O])[Co-5]2([Cl])([N+]3=CC=C(C(=O)O)C=C3)([N+]([O])=C(C)C(C)=[N+]2O)[N+](O)=C1C	46	15
ex_0033	C1=C[N]2[N+](=C1)[BH-]1[N+]3=CC=C[N]3[Co-4]234([N]2C=CC=[N+]12)[N]1C=CC=[N+]1[BH-]([N+]1=CC=C[N]13)[N+]1=CC=C[N]14	53	6
ex_0034	CC1=CC=C([As+]([Au-][Cl])(C2=CC=C(C)C=C2)C2=CC=C(C)C=C2)C=C1	45	7
ex_0035	C1=CC=C(C2=C3C=CC4=C(C5=CC=CC=C5)C5=[N+]6C(=C(C7=CC=CC=C7)C7=CC=C8C(C9=CC=CC=C9)=C9C=CC2=[N+]9[Zn-2]6([N]87)[N]34)C=C5)C=C1	77	22
ex_0036	C1=C[N]2[N+](=C1)[BH-]1[N+]3=CC=C[N]3[Co-4]234([N]2C=CC=[N+]12)[N]1C=CC=[N+]1[BH-]([N+]1=CC=C[N]13)[N+]1=CC=C[N]14	53	6
ex_0037	[Cl][Au-][Sb+]([C]1=CC=CC=C1)([C]1=CC=CC=C1)[C]1=CC=CC=C1	36	7
ex_0038	BrC1=CC=C([NH2+][Zn-2]([Br])([Br])[NH2+]C2=CC=C(Br)C=C2)C=C1	31	18
ex_0039	C1=CC2=CC=C3C=CC=[N+]4C3=C2[N+](=C1)[Cu-4]412([N+]3=CC=CC4=CC=C5C=CC=[N+]1C5=C43)[N+]1=CC=CC3=CC=C4C=CC=[N+]2C4=C31	67	16
ex_0040	CC1=CC(C)=[N+]2[BH-]3[N+]4=C(C)C=C(C)[N]4[Mo-3]([Cl])([N]=O)([N+]4=CC=C(C(C)(C)C)C=C4)([N]12)[N]1C(C)=CC(C)=[N+]31	71	17
ex_0041	C[As+]1(C)C2=CC=CC=C2[As+](C)(C)[Ru-2]1([Cl])([Cl])([Cl])[N]=O	34	6
ex_0042	C1=CC=C2C(=C1)C1=NC3=[N+]4C(=NC5=C6C=CC=CC6=C6N=C7C8=CC=CC=C8C8=[N+]7[Fe-4]4([N+]4=CNC=C4)([N+]4=CNC=C4)([N]1C2=N8)[N]56)C1=CC=CC=C13	75	2
ex_0043	S=C=[N][Zn-3]12([N+]3=CC=CC4=CC=C5C=CC(Cl)=[N+]1C5=C43)[N+]1=CC=CC3=CC=C4C=CC(Cl)=[N+]2C4=C31	48	4
ex_0044	NN1C=N[N+]2=C1N[NH2+][Zn-4]213([NH2+]NC2=[N+]1N=CN2N)[NH2+]NC1=[N+]3N=CN1N	43	8
ex_0045	C1=C[N]2[N+](=C1)C1[N+]3=CC=C[N]3[Zn-4]234([N]2C=CC=[N+]12)[N]1C=CC=[N+]1C([N+]1=CC=C[N]13)[N+]1=CC=C[N]14	53	7
ex_0046	[O][N+]1=C2C(=O)NC(=O)NC2=[O+][Co-6]123([O+]=C1NC(=O)NC(=O)C1=[N+]2[O])[O+]=C1NC(=O)NC(=O)C1=[N+]3[O]	40	4
ex_0047	[Cl][Au-][As+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	36	7
ex_0048	COC1=CC=CC(OC)=[C]1[Sb+]([C]1=C(OC)C=CC=C1OC)([C]1=C(OC)C=CC=C1OC)[Hg-]([I])[I]	61	40
ex_0049	C1=CC=C(C2=C3C=CC4=C(C5=CC=CC=C5)C5=[N+]6C(=C(C7=CC=CC=C7)C7=CC=C8C(C9=CC=CC=C9)=C9C=CC2=[N+]9[Zn-2]6([N]87)[N]34)C=C5)C=C1	77	22
ex_0050	C1=CC=C([B-]23O[N+]4=CC=[N+]5O[B-]6(C7=CC=CC=C7)O[N+]7=CC=[N+](O2)[Ni-4]4572[N+](=CC=[N+]2O6)O3)C=C1	49	5
ex_0051	C1=CC2=CC=C3C=CC=[N+]4C3=C2[N+](=C1)[Ni-4]412([N+]3=CC=CC4=CC=C5C=CC=[N+]1C5=C43)[N+]1=CC=CC3=CC=C4C=CC=[N+]2C4=C31	67	18
ex_0052	C1=CC=C([B-]23N4C=PC=[N+]4[Ni-4]45([N+]6=CP=CN62)([N+]2=CP=CN23)[N+]2=CP=CN2[B-](C2=CC=CC=C2)(N2C=PC=[N+]24)N2C=PC=[N+]25)C=C1	67	8
ex_0053	CC#[N+][Ag-2]1[N+]2=CC(C)=CC=C2C2=CC=C(C)C=[N+]21	33	30
ex_0054	NC1=[N+](O)[Ni-4]234([N+](O)=C(N)C5=CC=CC(=[N+]52)C(N)=[N+]3O)[N+](O)=C(N)C2=[N+]4C1=CC=C2	47	2
ex_0055	C1=CC=C(C2=C3C=CC4=C(C5=CC=CC=C5)C5=[N+]6C(=C(C7=CC=CC=C7)C7=CC=C8C(C9=CC=CC=C9)=C9C=CC2=[N+]9[Zn-2]6([N]87)[N]34)C=C5)C=C1	77	22
ex_0056	C1=CC=[N+]2C(=C1)C1=CC=CC3=[N+]1[Pt-2]21[N+]2=CC=CC=C2C2=[N+]1C3=CC=C2	39	34
ex_0057	FC1=C(F)C(F)=[C]([Au-][As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C(F)=C1F	46	8
ex_0058	ClC1=CC2=CC=C[N+]3=C2C2=[N+](C=CC=C12)[Zn-4]312([O]C3=C4C(=C(Br)C=C3Br)C=CC=[N+]41)[O]C1=C3C(=C(Br)C=C1Br)C=CC=[N+]32	57	18
ex_0059	FC1=C(F)C(F)=C(C2=C3C=CC4=C(C5=C(F)C(F)=C(F)C(F)=C5F)C5=CC=C6C7=[N+]8C(=C(C9=C(F)C(F)=C(F)C(F)=C9F)C9=CC=C2[N]9[Pd-2]8([N]56)[N]34)C=C7)C(F)=C1F	65	19
ex_0060	O=[Se](=O)([O-])[O][Cu-3]12([N+]3=CC=CC4=CC=C5C=CC=[N+]1C5=C43)[N+]1=CC=CC3=CC=C4C=CC=[N+]2C4=C31	50	16
ex_0061	[Cl][Au-]1([Cl])[Se+]=P(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=[C]21	37	17
ex_0062	C1=C[N+]([Ni-4]([N+]2=CNC=C2)([N+]2=CNC=C2)([N+]2=CNC=C2)([N+]2=CNC=C2)[N+]2=CNC=C2)=CN1	55	10
ex_0063	C1=CC=C(C2=C3C=CC4=C(C5=CC=CC=C5)C5=[N+]6C(=C(C7=CC=CC=C7)C7=CC=C8C(C9=CC=CC=C9)=C9C=CC2=[N+]9[Zn-2]6([N]87)[N]34)C=C5)C=C1	77	22
ex_0064	COC1=CC=[N+]2C(=C1)C1=CC(OC)=CC=[N+]1[Zn-4]213([O]C2=C4C(=C(Br)C=C2Br)C=CC=[N+]41)[O]C1=C2C(=C(Br)C=C1Br)C=CC=[N+]23	63	24
ex_0065	C[OH+][Co-3]123[O]C4=C(Br)C=C(Br)C=C4C[N+]1(CC[N+]2(C)C)CC1=CC(Br)=CC(Br)=C1[O]3	51	11
ex_0066	C1=CC=C2C(=C1)NC1=[N+]2[Mn-4]2345[N+]6=C(C[N+]2(CC[N+]3(CC2=[N+]4C3=CC=CC=C3N2)CC2=[N+]5C3=CC=CC=C3N2)C1)NC1=CC=CC=C16	77	7
ex_0067	O=C=[N][Zn-2]([N]=C=O)([N+]1=C2N=CC=CN2N=C1)[N+]1=C2N=CC=CN2N=C1	33	12
ex_0068	O[N+]1=CC2=CC=CC=[N+]2[Ni-5]123([N+](O)=CC1=CC=CC=[N+]12)[N+](O)=CC1=CC=CC=[N+]13	46	18
ex_0069	C1=CC=C(C2=C3C=CC4=C(C5=CC=CC=C5)C5=[N+]6C(=C(C7=CC=CC=C7)C7=CC=C8C(C9=CC=CC=C9)=C9C=CC2=[N+]9[Zn-2]6([N]87)[N]34)C=C5)C=C1	77	22
ex_0070	CC1=C(C)C2=CC=C[N+]3=C2C2=[N+](C=CC=C12)[Cu-4]312([N+]3=CC=CC4=C(C)C(C)=C5C=CC=[N+]1C5=C43)[N+]1=CC=CC3=C(C)C(C)=C4C=CC=[N+]2C4=C31	85	16
ex_0071	BrC1=CC=C(C2=C(C3=CC=C(Br)C=C3)[S][Co-]3([S]2)[S]C(C2=CC=C(Br)C=C2)=C(C2=CC=C(Br)C=C2)[S]3)C=C1	53	38
ex_0072	CC1=CC(C)=[N+]2C3[N+]4=C(C)C=C(C)[N]4[Co-4]45([N]12)([N]1C(C)=CC(C)=[N+]31)[N]1C(C)=CC(C)=[N+]1C([N+]1=C(C)C=C(C)[N]14)[N+]1=C(C)C=C(C)[N]15	89	9
ex_0073	ClC1=CC=[N+]2C3=C4C(=CC=C13)C(Cl)=CC=[N+]4[Zn-4]213([O]C2=C4C(=C(Br)C=C2Br)C=CC=[N+]41)[O]C1=C2C(=C(Br)C=C1Br)C=CC=[N+]23	57	12
ex_0074	S=C=[N][Zn-2]([N]=C=S)([N+]1=CC=CC2=CC=CC=C21)[N+]1=CC=CC2=CC=CC=C21	41	12
ex_0075	CC(C)P(=[Se+][Au-][Cl])(C(C)(C)C)C(C)(C)C	40	7
ex_0076	F[B-]12O[N+]3=C(C4=CC=CC=C4)C(C4=CC=CC=C4)=[N+]4O[B-]5(F)O[N+]6=C(C7=CC=CC=C7)C(C7=CC=CC=C7)=[N+](O1)[Fe-4]3461[N+](=C(N3C=CN=C3)C(N3C=CN=C3)=[N+]1O5)O2	83	35
ex_0077	CC1=CC(C)=[N+]([Pd-2]([N+]2=C(C)C=C(C)N2)([N+]2=C(C)C=C(C)N2)[N+]2=C(C)C=C(C)N2)N1	61	5
ex_0078	CC(C)C1=CC(C(C)C)=C(C2=C(C(C)C)C=C(C(C)C)C(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)=C2[N+]2=N[O][Co-]([N]=O)([N]=O)[O]2)C(C(C)C)=C1	112	68
ex_0079	[Br][Au][Se][P](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	37	7
ex_0080	CC(=O)C1=CC2=C(C3=C(C)C=C(C)C=C3C)C3=CC=C4C5=[N+]6C(=C(C7=C(C)C=C(C)C=C7C)C7=CC=C8NC1=[N+]2[Ni-2]6([N]87)[N]34)C=C5	78	21
ex_0081	[O][N+]1=C(C2=CC=CC=C2)C(C2=CC=CC=C2)=[N+](O)[Fe-6]12([N+]1=CN=CN=C1)([N+]1=CN=CN=C1)[N+]([O])=C(C1=CC=CC=C1)C(C1=CC=CC=C1)=[N+]2O	77	16
ex_0082	CC1=C(C)C2=CC=C[N+]3=C2C2=[N+](C=CC=C12)[Zn-4]312([O]C3=C4C(=C(Br)C=C3Br)C=CC=[N+]41)[O]C1=C3C(=C(Br)C=C1Br)C=CC=[N+]32	63	18
ex_0083	BrC1=C[N]2[N+](=C1)[BH-]1[N+]3=CC(Br)=C[N]3[Cd-4]234([N]2C=C(Br)C=[N+]12)[N]1C=C(Br)C=[N+]1[BH-]([N+]1=CC(Br)=C[N]13)[N+]1=CC(Br)=C[N]14	53	9
