[O+]#[C][W-5]([Cl])([Cl])([Cl])([C]#[O+])([C]#[O+])[C]#[O+]	embed-failed	0
C[N+](C)(C)[Mn-2]([I])([I])[I]	native	1
CC1=CC=C(C)[N]1[W+2]([O-])([C-]1C2CC3CC(C2)CC1C3)[N]1C(C)=CC=C1C	native	1
NC(=[NH2+])C1=C(N)N[N+]([Cu-4]([Cl])([Cl])([Cl])([Cl])[N+]2=NC(C(N)=[NH2+])=C(N)N2)=N1	native	2
C[S+](C)(=O)[Pd-2]([Br])([Br])[Br]	embed-grip	16
C[B-]12[H+][Zr-8]345678([H+]1)([H+]2)([H+][B-](C)([H+]3)[H+]4)([H+][B-](C)([H+]5)[H+]6)[H+][B-](C)([H+]7)[H+]8	embed-failed	0
[F][W-]([F])([F])([F])([F])([F])[N+]1=CC=CC=C1	native	2
CC(C)CC[S+](CCC(C)C)[Pd-2]([Cl])([Cl])[S+](CCC(C)C)CCC(C)C	native	1
C[C](=O)[Ir-3]([I])([I])([I])([C]#[O+])[C]#[O+]	embed-grip	16
CN1C=C[N+]([Cu-3]([Br])([N+]2=CN(C)C=C2)([N+]2=CN(C)C=C2)[N+]2=CN(C)C=C2)=C1	native	3
C[O][Mo]([CH3])([CH3])([CH3])([CH3])[O]C	native	2
C[P](C)(C)[Rh]([Cl])([B]1OC2=CC=CC=C2O1)([B]1OC2=CC=CC=C2O1)([P](C)(C)C)[P](C)(C)C	native	3
CC1=CC(C)=CC([N](C(C)(C)C)[Mo]([Cl])([N](C2=CC(C)=CC(C)=C2)C(C)(C)C)[N](C2=CC(C)=CC(C)=C2)C(C)(C)C)=C1	native	1
C[N+]12CC[N+]([Cu-3]([Cl])([Cl])([Cl])[N+]34CC[N+](C)(CC3)CC4)(CC1)CC2	native	4
CCNC(NCC)=[S+][Co-2]([Cl])([Cl])[S+]=C(NCC)NCC	native	1
C[P+](C)(C)[Ta-3]([Cl])([Cl])([Cl])([Cl])([P+](C)(C)C)[P+](C)(C)C	native	3
F[C](F)(F)[Hg][C](F)(F)F	native	1
FC1=NC(F)=C(F)[C]([PdH-2]([P+](C2CCCCC2)(C2CCCCC2)C2CCCCC2)[P+](C2CCCCC2)(C2CCCCC2)C2CCCCC2)=C1F	native	1
O=[N][Fe-]([Cl])([N]=O)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	native	1
C[N](C)[Ta+]([N-]C(C)(C)C)([N](C)C)[N](C)C	native	1
FC1=C(F)C(F)=[C]([Zn-]([C]2=C(F)C(F)=C(F)C(F)=C2F)[C]2=C(F)C(F)=C(F)C(F)=C2F)C(F)=C1F	native	1
[CH3][Pt]123([S]C4=C(F)C(F)=CC(F)=C4F)[C]4=[C]1CC[C]2=[C]3CC4	native	3
CC1=CC=CC=C1[N-][Nb+]([O]C1=C(C(C)(C)C)C=CC=C1C(C)(C)C)([N](C)C)[N](C)C	native	1
C[S+](C)[Cu-3]([Cl])([S+](C)C)[S+](C)C	native	1
[Cl][Rh-7]123456<-[C+](=[C+]1)CC[P+]2(CC[C+]->3=[C+]4)CC[C+]->5=[C+]6	embed-grip	16
CC[P+](CC)(CC)[Pt-2]([Br])([C]1=C(F)C(F)=C(C=CC2=CC=NC=C2)C(F)=C1F)[P+](CC)(CC)CC	native	1
CN(C)P(=[O+][Mn-2]([Cl])([Cl])[O+]=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C	native	1
[O+]#[C][Re-6]12([C]#[O+])([C]#[O+])[Te+](I)(I)I([Te+]1(I)I)[Te+]2(I)I	embed-failed	0
CC1=CC=C2C3=CC=C(C)C=[N+]3[Ni-4]([OH2+])([OH2+])([OH2+])([Cl])[N+]2=C1	native	2
[CH3][Ni-2]1([CH3])[NH2+]CC2=CC=CC=[N+]21	embed-grip	16
[Cl][Hg-2]([Cl])[S]C1=[N+]N(C2=CC=CC=C2)[N+](C2=CC=CC=C2)=N1	native	1
CC1=CC=C(C(=O)[CH]([P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[Hg-2]([Br])([Br])[O+]=S(C)C)C=C1	native	1
[O+]#[C][Re-5]1([Br])([C]#[O+])([C]#[O+])[N+]2=CC=CC=C2N2C=NC=[N+]21	embed-failed	0
[Br][Ni-2]12[N]3C=CC=C3C=[N+]1CC1=CC=CC=[N+]12	embed-grip	16
CN1C(Cl)=C(Cl)N(C)[C+]1[Au-][Cl]	embed-grip	16
[O+]#[C][Mn-5]1([Br])([C]#[O+])([C]#[O+])[N+](CCO)=CC2=CC=CC=[N+]21	embed-failed	0
C[CH2][Au-]([CH3])([CH2]C)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	native	2
CC1=CC(C)=[N+](C)[Ir-5]234(<-[C+]5=[C+]->2CC[C+]->3=[C+]->4CC5)[O]1	embed-grip	16
[Cl][Mo-3]1([Cl])([Cl])([Cl])[N+]2=CC=CC=C2C2=CC=CC=[N+]21	embed-grip	16
CC[S+]1CC[NH+]2CC[S+](CC)[Rh-3]21[C]#[O+]	embed-grip	16
[O+]#[C][Ir-3]1([C]#[O+])[N+]2=CC=CN2CN2C=CC=[N+]21	embed-grip	16
[Br][Pd-2]1([Br])[C+]2NC=CC=C2C[S+]1C1=CC=CC=C1	embed-grip	16
[I][Ni-2]([I])([N+]1=CC=CC=C1)[N+]1=CC=CC=C1	native	1
[O+]#[C][Pd-2]([Br])([Br])[Br]	embed-grip	14
[Br][Hg-4]1([Br])[O][N+]2=CC=CC=C2C2=CC=CC=[N+]2[O]1	embed-grip	16
C[N+]1(C)CC[N+](C)(C)[Zn-2]1([Cl])[CH](C1=CC=CC=C1)[Si](C)(C)C	native	1
C[N](C)[Zr-]([N](C)C)([N](C)C)([Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C)[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	native	2
CC#[N+][W-5]1([Br])([Br])([C]#[O+])(<-[C+]#[C+]->1)[N+]#CC	embed-failed	0
[O-][Re+]1([O-])([O-])([Cl])[N+]2=CC=CC3=CC=C4C=CC=[N+]1C4=C32	embed-grip	16
[NH3+][Co-3]1([NH3+])([NH3+])([NH3+])[O]P(=O)(O)CP(=O)(O)[O]1	embed-failed	0
C[P+](C)(C)[W-]([Cl])([Cl])([Cl])([N-]C1=CC=CC=C1)[P+](C)(C)C	native	3
CC(C)C1COC2=[N+]1[Ir-6]134([C+]=[C+]1)([C+]=[C+]3)[N+]1=C(C=CC=C21)C1=[N+]4C(C(C)C)CO1	native	2
CC1=CC2=C([O][Co-3]([Cl])([P+](C)(C)C)([P+](C)(C)C)([P+](C)(C)C)[C]2=O)C(C(C)(C)C)=C1	native	4
S=C=[N][Os-3]([N]=C=S)([N]=C=S)([N+]1=CC=CC=C1)([N+]1=CC=CC=C1)[N+]1=CC=CC=C1	embed-grip	16
C[N+]12CC[N+]3(C)CC[N+](C)(CC1)[Y-3]23([CH3])([CH3])[CH3]	embed-grip	16
CC(C)(C)[N-][V]([I])([N-]C(C)(C)C)([P+](C)(C)C)[P+](C)(C)C	native	14
CN1C=CN2CN3C=CN(C)[C+]3[Pt-2]([CH3])([CH3])[C+]12	embed-grip	16
