CC1=CC(C)=[N+](C)[Ir-5]234(<-[C+]5=[C+]->2CC[C+]->3=[C+]->4CC5)[O]1	chelate_polya_no_configs	tshape
[Cl][Rh-7]123456<-[C+](=[C+]1)CC[P+]2(CC[C+]->3=[C+]4)CC[C+]->5=[C+]6	hyperdentate_nonhapto	denticity=7
[Br][Pd-2]1([Br])[C+]2NC=CC=C2C[S+]1C1=CC=CC=C1	chelate_all_configs_failed	square_planar
CN1C(Cl)=C(Cl)N(C)[C+]1[Au-][Cl]	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 2 4 8
[O+]#[C][W-5]([Cl])([Cl])([Cl])([C]#[O+])([C]#[O+])[C]#[O+]	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
[O+]#[C][W-5]([Cl])([Cl])([Cl])([C]#[O+])([C]#[O+])[C]#[O+]	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
[O+]#[C][W-5]([Cl])([Cl])([Cl])([C]#[O+])([C]#[O+])[C]#[O+]	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
[O+]#[C][W-5]([Cl])([Cl])([Cl])([C]#[O+])([C]#[O+])[C]#[O+]	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
[Cl][Au-][C](=C1C2=CC=CC=C2C2=CC=CC=C21)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	ligand_too_large	nheavy=33 denticity=1 cap=30
[O+]#[C][W-5]([Cl])([Cl])([Cl])([C]#[O+])([C]#[O+])[C]#[O+]	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CCCCN1C=CN(C2=CC=C(Br)C=C2)[C+]1[Pd-2]([I])([I])[C+]1N(CCCC)C=CN1C1=CC=C(Br)C=C1	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 5 6 15
CCCCN1C=CN(C2=CC=C(Br)C=C2)[C+]1[Pd-2]([I])([I])[C+]1N(CCCC)C=CN1C1=CC=C(Br)C=C1	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 5 6 15
C[B-]12[H+][Zr-8]345678([H+]1)([H+]2)([H+][B-](C)([H+]3)[H+]4)([H+][B-](C)([H+]5)[H+]6)[H+][B-](C)([H+]7)[H+]8	no_geometry_for_cn	metal=Zr cn=12
C[S+](C)(=O)[Pd-2]([Br])([Br])[Br]	self_gate_failed	cn=4 geom=SP-4 square planar
CC1=CC(C)=C(N2C=CN3[C+]2[IrH2-3]24[O]C(C5=CC=C(Br)C=C5)C3C3=[N+]2C(=CC=C3)C[P+]4(C(C)(C)C)C(C)(C)C)C(C)=C1	chelate_all_configs_failed	octahedron
C[C](=O)[Ir-3]([I])([I])([I])([C]#[O+])[C]#[O+]	self_gate_failed	cn=6 geom=OC-6 octahedron
CC1=C(C)N(C)[C+]([RuH3-3]([C+]2N(C)C(C)=C(C)N2C)([Si](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)N1C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 1 2 6
CC1=C(C)N(C)[C+]([RuH3-3]([C+]2N(C)C(C)=C(C)N2C)([Si](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)N1C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 1 2 6
CC1=C(C)N(C)[C+]([RuH3-3]([C+]2N(C)C(C)=C(C)N2C)([Si](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)N1C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 1 2 6
CC1=C(C)N(C)[C+]([RuH3-3]([C+]2N(C)C(C)=C(C)N2C)([Si](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)N1C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 1 2 6
